isbn,title,image URL,description
1160502404 9791160502404,차트분석 무작정 따라하기,https://bookthumb-phinf.pstatic.net/cover/124/848/12484822.jpg?type=m1&udate=20170930,▶ 이 책은 차트분석을 다룬 도서입니다. 차트분석의 기초적이고 전반적인 내용을 학습할 수 있습니다.
1160507376 9791160507379,한 달 만에 월세 받는 셰어하우스 재테크,https://bookthumb-phinf.pstatic.net/cover/146/412/14641294.jpg?type=m1&udate=20190614,"- 투자금 3천만 원으로 억대 수익 올리는 셰어하우스 운영자의 경험담 & 노하우 대공개
- 시작 전 알아야 할 정보부터, 따라만 하면 한 달 만에 셰어하우스 오픈하는 5단계 비법, 다른 곳에서는 볼 수 없었던 전문적인 수익 관리법까지 셰어하우스의 모든 것을 담은 최고의 바이블서"
1160504776 9791160504774,나는 하루 1시간 주식투자로 연봉 번다 (반드시 수익 내는 주식투자 3단계 원칙),https://bookthumb-phinf.pstatic.net/cover/136/028/13602876.jpg?type=m1&udate=20180623,월급만으로는 불안한 직장인이라면 이제 제대로 된 재테크를 해야 한다!20년이 넘게 주식 투자를 해온 숙련된 투자자 최금식이 조금 더 여유로운 삶을 꿈꾸는 직장인들을 위해 펴낸 『나는 하루 1시간 주식투자로 연봉 번다』. 20년 넘게 주식투자를 해오며 겪은 다양한 실패와 성공을 이야기하면서 주식 맞벌이... 
116050427X 9791160504279,"읽으면 읽을수록 빠져드는 회계책 (이 책을 펴는 순간, 재무제표를 읽는 힘이 생긴다!)",https://bookthumb-phinf.pstatic.net/cover/133/984/13398405.jpg?type=m1&udate=20180324,"승진이 당겨지고, 투자수익이 올라가고, 경영의 질을 높아진다!&#x0D;인생이 편해지는 ‘회계의 힘’&#x0D;&#x0D;회계를 아느냐 모르느냐에 따라 직장생활의 기쁨은 천지차이요, 투자 수익률은 롤러코스터다. 저자는 그런데도 왜 사람들은 회계를 배우지 않는 것인지 의문에 빠졌다. 하지만 대부분은 어려워서... "
1160502315 9791160502312,만화 주식투자 무작정 따라하기,https://bookthumb-phinf.pstatic.net/cover/124/512/12451254.jpg?type=m1&udate=20190130,"『만화 주식투자 무작정 따라하기』는 원작의 탄탄한 내용과 구성방식을 최대한 살리면서 만화 특유의 읽는 즐거움, 스토리를 통한 재미를 배가시켰다. 이번 개정판에서는 주식 초보자들이 이해하기 어려웠던 주식과 주식회사의 기본 개념은 물론 주식투자를 해야 하는 이유를 보강하고, 초보 투자자들이... "
1160504873 9791160504873,"경매 승부사들 (해결법을 아는 순간, 마법같은 수익률이 나타난다!)",https://bookthumb-phinf.pstatic.net/cover/136/543/13654305.jpg?type=m1&udate=20190130,"해결법을 알면 마법같은 수익률이 나타난다!&#x0D;경매 승부사들&#x0D;&#x0D;‘아하, 경매란 이런 거구나!’ &#x0D;경매의 진면목을 알게 하는 배움x즐거움의 환상 콜라보레이션!&#x0D;몇 년 간 부동산 가격이 껑충 뛰면서 기회를 놓쳐버린 것은 아닐까 걱정하는 사람들이 많다. 만약 당신이 경매에 조금이라도... "
1160507724 9791160507720,"세금 재테크 상식사전 (2019,연말정산부터 부동산세, 종합소득세,상속.증여세까지)",https://bookthumb-phinf.pstatic.net/cover/148/417/14841716.jpg?type=m1&udate=20190629,"2019년 개정세법이 반영된 8차 개정판
매년 달라지는 필수 세법 상식, 알고만 있어도 재테크가 가능해진다!

ㆍ 내야하니까 내던 세금을 재테크 수단으로 만들어주는 필수 세금 상식
ㆍ 안 쓰고 아낄 필요 없는 절약, 시도하는 만큼 얻어가는 세금 환급과 절세 방법
ㆍ 복잡한 세법을 사례와 도표로 정리해서... "
1160502617 9791160502619,주식투자 무작정 따라하기 2 (ETF),https://bookthumb-phinf.pstatic.net/cover/125/375/12537569.jpg?type=m1&udate=20171029,"70만 왕초보가 감동한 『주식투자 무작정 따라하기』 제2탄 〈ETF〉. 한국 증시 사상 최장기간 박스권을 탈출하며, 주식시장에 순풍이 불어오자 주식투자에 관심을 가지는 사람이 늘고 있다. 그러나 우량 종목선정부터 돈 되는 매매 타이밍까지 개미투자자가 신경쓰고 챙겨야 할 게 많은 주식투자에서... "
1186978511 9791186978511,만화경제 상식사전,https://bookthumb-phinf.pstatic.net/cover/102/141/10214114.jpg?type=m1&udate=20190108,"『만화 경제 상식사전』은 어려운 경제 개념과 다양한 최신 이슈들을 만화로 풀어내, 누구나 쉽게 읽을 수 있는 책이다. ‘기회비용’ ‘GDP’ ‘디플레이션’처럼 학창시절 배웠던 기초용어부터 재테크에 필요한 금융상식과 세계경제 핫이슈들을 만화라는 툴을 사용해 역사적 배경과 기원부터 친절하게... "
1160505942 9791160505948,30분 통계학 (도쿄대학교 기초 통계학 강의를 한 권에 담았다!),https://bookthumb-phinf.pstatic.net/cover/141/078/14107828.jpg?type=m1&udate=20190329,"명문대의 4년간 대학 공부를 한 번에 끝내는 &lt;30분 시리즈&gt;
일본에서 누적 판매 부수 40만 부 이상 팔린 베스트셀러 시리즈 《30분 경제학》에 이어 《30분 회계학》, 《30분 경영학》, 《30분 마케팅》, 그리고 《30분 통계학》이 출간되었다. 도쿄대학교 명강의를 응축한 [30분 시리즈]는 못다 한 공부에... "
