isbn,title,image URL,description
8962227835 9788962227833,"기적의 한글 쓰기 5 (4B연필용,낱말과 문장 쓰기,만5세이상,한글을 읽을 수 있는 아이)",https://bookthumb-phinf.pstatic.net/cover/089/229/08922983.jpg?type=m1&udate=20181126,"훈민정음 창제 원리에 입각한 과학적, 구조적 한글 쓰기 프로그램 『기적의 한글 쓰기(4B연필용)』제5권. 한글의 글씨 형태를 분석한 과학적·구조적 학습 방법으로 한글 쓰기의 이해와 효율성을 높였습니다. 유아의 발달 단계를 고려한 내용과 필기구 교정으로 아이의 눈높이에 맞는 접근 방식을 채택하여 맞춤형... "
8962229226 9788962229226,"기적의 문법+영작 1 (영작의 바탕은 문법! 기초 문법으로 쉽게 익히는 영작 원리,plus)",https://bookthumb-phinf.pstatic.net/cover/112/822/11282270.jpg?type=m1&udate=20170225,"영어 문장이 술술 써지는 영작 원리를 익혀요!&#x0D;&#x0D;중학교 내신 시험에 대비해야 하는 초등 5,6학년을 위한 영작 학습서이다. &#x0D;&#x0D;문장을 제대로 영작할 수 있으려면 무엇보다 문법 규칙을 아는 것이 중요하다. 문법 규칙을 토대로 영작 원리를 익혀야 보다 정확하고 완벽하게 문장을 완성할 수... "
1160504210 9791160504217,"Node.js 마이크로서비스 코딩 공작소 (마이크로서비스 아키텍처 설계와 구현,장애 처리,보안,로그 수집,배포까지)",https://bookthumb-phinf.pstatic.net/cover/133/473/13347358.jpg?type=m1&udate=20180601,"설계부터 구현까지, 직접 만들면서 이해하는 마이크로서비스 아키텍처&#x0D;&#x0D;넷플릭스, 아마존닷컴, 이베이를 포함한 대규모 웹 사이트들이 모놀리식 아키텍처에서 마이크로서비스 아키텍처로 변화하고 있다. 이들은 왜 마이크로서비스 아키텍처를 선택했을까? 마이크로서비스 아키텍처를 직접... "
1188991167 9791188991167,기적의 세마디 영어 1 (어서 일어나),https://bookthumb-phinf.pstatic.net/cover/138/832/13883293.jpg?type=m1&udate=20190313,"귀가 뻥! 말문이 빵!
수퍼맘 박현영의 술술 터지는 생활회화 그림책
어린이 외국어교육 전문가 박현영 선생님의 저서로, 3~7세 아이들을 위한 유아용 생활회화 그림책입니다. 일어나서 잠들기까지 네이티브 스피커가 일상에서 가장 많이 쓰는 세 마디 대화체 영어를 엄선하여 신나는 챈트 리듬에 실었습니다.
챈트... "
8986621339 9788986621334,오소리네 집 꽃밭,https://bookthumb-phinf.pstatic.net/cover/001/826/00182600.jpg?type=m1&udate=20150923,너무 흔해서 거들떠보지 않던 들꽃에서 새로운 아름다움을 발견한 오소리아줌마.이 책은 어린이들에게 우리나라 들꽃들의 아름다움을 발견하고 가슴깊이 느낄 수있게 해줍니다.
1187345016 9791187345015,애자일 & 스크럼 프로젝트 관리 (자발적 팀을 위한 애자일 코칭),https://bookthumb-phinf.pstatic.net/cover/105/425/10542525.jpg?type=m1&udate=20170803,"국내 프로젝트 상황에 맞는 애자일 적용 방법을 제시한다!

애자일은 정형화된 프로세스, 도구, 방법론이 아니라 구성원 간의 상호작용과 소통, 고객과의 협력, 변화에 대응하는 것을 중시하는 가치와 철학을 말한다. 애자일은 기존 방법론과 상호보완하며 적용할 수 있는 부분이 많고 실제로 이를 어떻게... "
8962229064 9788962229066,"팝스 잉글리시 2 (팝송 20곡으로 초등 필수 영어 끝내기!,Pops English)",https://bookthumb-phinf.pstatic.net/cover/104/798/10479854.jpg?type=m1&udate=20190202,"팝송 20곡으로 초등 필수 어휘, 회화, 문법을 학습하는 『팝스 잉글리시(POPS ENGLISH)』 제 2권. 팝송 가사 중에는 일상생활에서 그대로 활용이 가능한 유용한 표현이 많다. 이 중에서 초등학생들도 쉽게 익힐 수 있는 패턴 표현을 곡당 3개씩 뽑아 공부하며 표현에 대한 설명을 읽고 다양한 응용 표현도... "
8960478113 9788960478114,스피킹 매트릭스 3분 영어 말하기 (과학적 3단계 영어 스피킹 훈련 프로그램),https://bookthumb-phinf.pstatic.net/cover/073/991/07399180.jpg?type=m1&udate=20160218,"영어 강의 경력 15년의 스피킹 전문 강사가 한국인의 스피킹 메커니즘에 맞춰 개발한 과학적 3단계 영어 스피킹 훈련 프로그램 『스피킹 매트릭스』. 대학생, 취업 준비생, 직장인 등 수많은 학습자들에게 그 효과를 검증받은 이 학습법은, 출간되어 구글코리아 영어교육 및 아웃백코리아 직원 6천명... "
8962228270 9788962228274,기적의 초등 영문법 2 (동사 과거/진행/미래형.조동사),https://bookthumb-phinf.pstatic.net/cover/089/229/08922985.jpg?type=m1&udate=20150409,"- 독자대상 : 초등 영문법 학습생
- 구성 : 개념 + 문제
- 특징 :
① 초등 5, 6학년이 꼭 알아야 할 영문법 기초 학습서
② 그래머맵과 노래로 즐겁게 기초 영문법 다지기"
1160504814 9791160504811,"하루 한 시간,엄마의 시간 (삶과 육아의 균형을 되찾는다)",https://bookthumb-phinf.pstatic.net/cover/136/412/13641292.jpg?type=m1&udate=20190124,"엄마로, 아내로 머무르지 않고
‘온전한 나’로 살아가는 방법‘독박육아’, ‘육아전쟁’, ‘전투육아’처럼 육아 일상의 어려움을 표현하는 말이 널리 쓰이고 있다. 그만큼 육아하기가 힘들다는 엄마들의 마음을 대변하는 말이 아닐까. 아이를 낳아 엄마가 되는 순간, 내 시간을 내 뜻대로 쓰던 ‘나’는... "
